temp_c,vgs_small_v,vgs_large_v,dvgs_v,supply_current_a,power_w
-40, 0.641902, 0.548148, 0.093754, 2E-07, 3.6E-07
-20, 0.624362, 0.525595, 0.0987668, 2E-07, 3.6E-07
0, 0.607376, 0.503206, 0.10417, 2E-07, 3.6E-07
25, 0.586687, 0.47539, 0.111296, 2E-07, 3.6E-07
50, 0.566417, 0.447721, 0.118696, 2E-07, 3.6E-07
75, 0.546437, 0.420169, 0.126268, 2E-07, 3.6E-07
100, 0.526659, 0.392716, 0.133943, 2E-07, 3.6E-07
125, 0.507022, 0.365347, 0.141675, 2E-07, 3.6E-07
