temp_c,vgs_small_v,vgs_large_v,dvgs_v,supply_current_a,power_w,branch_small_a,branch_large_a
-40, 0.611051, 0.52788, 0.0831717, 3.01333E-07, 5.42399E-07, 1.00522E-07, 1.00811E-07
-20, 0.593301, 0.505314, 0.0879878, 3.01717E-07, 5.43091E-07, 1.00713E-07, 1.01005E-07
0, 0.576074, 0.482915, 0.0931587, 3.02085E-07, 5.43754E-07, 1.00894E-07, 1.01191E-07
25, 0.555052, 0.455097, 0.0999551, 3.02529E-07, 5.44552E-07, 1.01112E-07, 1.01417E-07
50, 0.534426, 0.427438, 0.106988, 3.02959E-07, 5.45327E-07, 1.01322E-07, 1.01637E-07
75, 0.514077, 0.399909, 0.114168, 3.03382E-07, 5.46087E-07, 1.01529E-07, 1.01853E-07
100, 0.493924, 0.372492, 0.121432, 3.038E-07, 5.4684E-07, 1.01733E-07, 1.02067E-07
125, 0.473911, 0.345175, 0.128736, 3.0422E-07, 5.47595E-07, 1.01938E-07, 1.02282E-07
