temp_c,vgs_small_v,vgs_large_v,dvgs_v,supply_current_a,power_w,branch_small_a,branch_large_a
-40, 0.642016, 0.548347, 0.0936691, 3.00914E-07, 5.41646E-07, 1.00297E-07, 1.00618E-07
-20, 0.624558, 0.525876, 0.0986824, 3.01297E-07, 5.42335E-07, 1.00486E-07, 1.00811E-07
0, 0.607657, 0.503571, 0.104086, 3.0166E-07, 5.42987E-07, 1.00665E-07, 1.00995E-07
25, 0.587081, 0.475873, 0.111208, 3.0209E-07, 5.43762E-07, 1.00876E-07, 1.01214E-07
50, 0.566933, 0.448332, 0.118601, 3.02501E-07, 5.44502E-07, 1.01076E-07, 1.01425E-07
75, 0.547085, 0.420921, 0.126164, 3.02899E-07, 5.45218E-07, 1.0127E-07, 1.01628E-07
100, 0.527449, 0.393618, 0.133831, 3.03289E-07, 5.4592E-07, 1.0146E-07, 1.01829E-07
125, 0.507967, 0.366411, 0.141556, 3.03677E-07, 5.46619E-07, 1.01649E-07, 1.02028E-07
