temp_c,vgs_small_v,vgs_large_v,dvgs_v,supply_current_a,power_w
-40, 0.579784, 0.507032, 0.0727513, 2E-07, 3.6E-07
-20, 0.561741, 0.48432, 0.0774215, 2E-07, 3.6E-07
0, 0.544182, 0.461765, 0.0824172, 2E-07, 3.6E-07
25, 0.522701, 0.43374, 0.0889608, 2E-07, 3.6E-07
50, 0.501577, 0.405864, 0.0957129, 2E-07, 3.6E-07
75, 0.480696, 0.378107, 0.102589, 2E-07, 3.6E-07
100, 0.459982, 0.350452, 0.10953, 2E-07, 3.6E-07
125, 0.439382, 0.322887, 0.116495, 2E-07, 3.6E-07
